annotated,common_name_correction,broad,order,
shrike,shrike,passerine,passeriformes,
silkiechicken,silkie_chicken,chicken,galliformes,
silkychicken,silkie_chicken,chicken,galliformes,
silverpheasant,silver_pheasant,pheasant,galliformes,
silver-earedmesia,silver-eared_mesia,passerine,passeriformes,
silverearedmesia,silver-eared_mesia,passerine,passeriformes,
slaty-backedgull,slaty-backed_gull,gull,charadriiformes,
slatybackedgull,slaty-backed_gull,gull,charadriiformes,
mergusalbellus,smew,duck,anseriformes,
smew,smew,duck,anseriformes,
anser_caerulescens,snow_goose,goose,anseriformes,
snowgoose,snow_goose,goose,anseriformes,
snowyowl,snowy_owl,owl,strigiformes,
snowy egret,snowy_egret,egret,pelecaniformes,
songthrush,song_thrush,passerine,passeriformes,
sooty_tern,sooty_tern,tern,charadriiformes,
sparrow,sparrow,passerine,passeriformes,
somateria_fischeri,spectacled_eider,eider,anseriformes,
spectacled_eider,spectacled_eider,duck,anseriformes,
spotbilledduck,spot-billed_duck,duck,anseriformes,
spurwingedgoose,spur-winged_goose,goose,anseriformes,
spur-wingedlapwing,spur-winged_lapwing,lapwing,charadriiformes,
starling,starling,starling,passeriformes,
steller's_eider,stellars_eider,duck,anseriformes,
stonecurlew,stone_curlew,wader,charadriiformes,
skunk,striped_skunk,skunk,carnivora,
stork,stork,stork,ciconiiformes,
swallow,swallow,swallow,passeriformes,
juvenileswan,swan,swan,anseriformes,
swan,swan,swan,anseriformes,
wildswan,swan,swan,anseriformes,
anser_cygnoides,swan_goose,goose,anseriformes,
ansercygnoides,swan_goose,goose,anseriformes,
Swainson's hawk,swainsons_hawk,hawk,accipitriformes,
swiftlet,swiftlet,swift,apodiformes,
finistere,swine,swine,swine,
pig,swine,swine,swine,
sus_scrofa,swine,swine,swine,
sus_scrofa_domesticus,swine,swine,swine,
sus_scrofa_scrofa,swine,swine,swine,
sw,swine,swine,swine,
swine,swine,swine,swine,
wild_boar,swine,swine,swine,
teal,teal_duck,duck,anseriformes,
tree_sparrow,tree_sparrow,passerine,passeriformes,
treesparrow,tree_sparrow,passerine,passeriformes,
trumpeterswan,trumpeter_swan,swan,anseriformes,
aythyafuligula,tufted_duck,duck,anseriformes,
tufted_duck,tufted_duck,duck,anseriformes,
tuftedduck,tufted_duck,duck,anseriformes,
cygnus_columbianus,tundra_swan,swan,anseriformes,
tundraswan,tundra_swan,goose,anseriformes,
whistlingswan,tundra_swan,goose,anseriformes,
domesticturkey,turkey,turkey,galliformes,
domesticturkey,turkey,turkey,galliformes,
turkey,turkey,turkey,galliformes,
turkey vulture,turkey_vulture,vulture,accipitriformes,
turtle_dove,turtle_dove,dove,columbiformes,
turtledove,turtle_dove,dove,columbiformes,
velvet_scoter,velvet_scoter,duck,anseriformes,
vulture,vulture,raptor,accipitriformes,
Virginia opossum,virginia_opossum,possum,Didelphimorphia,
Vulpes vulpes,red_fox,fox,carnivora,
watercock,watercock,watercock,gruiformes,
anseriformes,waterfowl,waterfowl,anseriformes,
wild_waterfowl,waterfowl,waterfowl,anseriformes,
western gull,western_gull,gull,charadriiformes,
Western screech owl,western_screech_owl,owl,strigiformes,
whitepeafowl,white_peafowl,peafowl,galliformes,
ciconiaciconia,white_stork,stork,ciconiiformes,
whitestork,white_stork,stork,ciconiiformes,
white-backedmunia,white-backed_munia,passerine,passeriformes,
whitebackedmunia,white-backed_munia,passerine,passeriformes,
whiteeyedpochard,white-eyed_pochard,duck,anseriformes,
dendrocygna_viduata,white-faced_whistling_duck,duck,anseriformes,
white-fronted_goose,white-fronted_goose,goose,anseriformes,
whitetailedeagle,white-tailed_eagle,raptor,accipitriformes,
withetiledeagle,white-tailed_eagle,raptor,accipitriformes,
cygnus_cygnus,whooper_swan,goose,anseriformes,
cygnuscygnus,whooper_swan,goose,anseriformes,
whooper_swan,whooper_swan,goose,anseriformes,
whooperswan,whooper_swan,goose,anseriformes,
whoopingswan,whooper_swan,goose,anseriformes,
wild mink,wild_mink,mink,carnivora,
wild_birds,wild_birds,avian,avian,
meleagrisgallopavo,wild_turkey,turkey,galliformes,
wildturkey,wild_turkey,turkey,galliformes,
aix_sponsa,wood_duck,duck,anseriformes,
maned_goose,wood_duck,duck,anseriformes,
wood_duck,wood_duck,duck,anseriformes,
woodduck,wood_duck,duck,anseriformes,
yellow_billed_duck,yellow-billed_duck,duck,anseriformes,
yellowbilledduck,yellow-billed_duck,duck,anseriformes,
anas_georgica,yellow-billed_pintail,duck,anseriformes,
yellow-billed_pintail,yellow-billed_pintail,duck,anseriformes,
yellowleggedgull,yellow-legged_gull,gull,charadriiformes,
mallard_duck,mallard_duck,duck,anseriformes,
backyard_bird,backyard_bird,chicken,galliformes,
redhead,redhead,duck,anseriformes,
lesser_snow_goose_white,lesser_snow_goose_white,goose,anseriformes,
lesser_snow_goose_blue,lesser_snow_goose_blue,goose,anseriformes,
vulpes_vulpes,vulpes_vulpes,fox,carnivora,
RT-Hawk,rt-hawk,hawk,accipitriformes,
mergus,mergus,duck,anseriformes,
skunk,skunk,skunk,carnivora,
layer_chicken,layer_chicken,chicken,galliformes,
common_eiders,common_eiders,duck,anseriformes,
red-breasted_merganser,red-breasted_merganser,duck,anseriformes,
blue_winged_teal,blue_winged_teal,duck,anseriformes,
green_winged_teal,green_winged_teal,duck,anseriformes,
great-tailed_grackle,great-tailed_grackle,crow,passeriformes,
coopers_s_hawk,coopers_s_hawk,hawk,accipitriformes,
cooperss_hawk,cooperss_hawk,hawk,accipitriformes,
glaucous_gull,glaucous_gull,gull,charadriiformes,
American Kestrel,american_kestrel,raptor,falconiformes,new
American robin,american_robin,robin,passeriformes,
american_wood_stork,american_wood_stork,stork,ciconiiformes,
baers_pochard,baers_pochard,duck,anseriformes,
black_turnstone,black_turnstone,wader,charadriiformes,
boat-tailed_grackle,boat-tailed_grackle,grackle,passeriformes,
bonapartes_gull,bonapartes_gull,gull,charadriiformes,
brandts_cormorant,brandts_cormorant,cormorant,suliformes,
brant,brant,goose,anseriformes,
brazilian_teal,brazilian_teal,duck,anseriformes,
broad-winged_hawk,broad-winged_hawk,hawk,accipitriformes,
california_condor,california_condor,condor,cathartiformes,
california_gull,california_gull,gull,charadriiformes,
chilean_flamingo,chilean_flamingo,flamingo,phoenicopteriformes,
common_grackle,common_grackle,grackle,passeriformes,
common_merganser,common_merganser,duck,anseriformes,
crested_caracara,crested_caracara,eagle,falconiformes,
crested_screamer,crested_screamer,duck,anseriformes,
dark-eyed_junco,dark-eyed_junco,passerine,passeriformes,
eastern_screech_owl,eastern_screech_owl,owl,strigiformes,
eider,eider,duck,anseriformes,
ferruginous_hawk,ferruginous_hawk,hawk,accipitriformes,
Forster's tern,forsters_tern,tern,charadriiformes,
fulvous_whistling_duck,fulvous_whistling_duck,duck,anseriformes,
gannet,gannet,gannet,suliformes,
glossy_ibis,glossy_ibis,ibis,pelecaniformes,
greater_rhea,greater_rhea,rhea,rheiformes,
greater_sage_grouse,greater_sage_grouse,grouse,galliformes,
Harris's hawk,harris_hawk,hawk,accipitriformes,
horned_grebe,horned_grebe,grebe,podicipediformes,
lesser_flamingo,lesser_flamingo,flamingo,phoenicopteriformes,
lorikeet,lorikeet,parrot,psittaciformes,
merlin,merlin,falcon,falconiformes,
mottled_duck,mottled_duck,duck,anseriformes,
northern_fulmar,northern_fulmar,seabird,procellariiformes,
northern_harrier,northern_harrier,hawk,accipitriformes,
pacific_loon,pacific_loon,loon,gaviiformes,
parasitic_jaeger,parasitic_jaeger,seabird,charadriiformes,
pied-billed_grebe,pied-billed_grebe,grebe,podicipediformes,
puna_teal,puna_teal,duck,anseriformes,
razorbill,razorbill,seabird,charadriiformes,
red-breasted_goose,red-breasted_goose,goose,anseriformes,
red-necked_phalarope,red-necked_phalarope,wader,charadriiformes,
red-winged_blackbird,red-winged_blackbird,passerine,passeriformes,
roseate_spoonbill,roseate_spoonbill,ibis,pelecaniformes,
ruffed_grouse,ruffed_grouse,grouse,galliformes,
scaly-sided_merganser,scaly-sided_merganser,duck,anseriformes,
short-billed_gull,short-billed_gull,gull,charadriiformes,
short-eared_owl,short-eared_owl,owl,strigiformes,
short-tailed_shearwater,short-tailed_shearwater,seabird,procellariiformes,
snowy_plover,snowy_plover,shorebird,charadriiformes,
thayers_gull,thayers_gull,gull,charadriiformes,
tree_swallow,tree_swallow,passerine,passeriformes,
warbler,warbler,passerine,passeriformes,
western_grebe,western_grebe,grebe,podicipediformes,
white-faced_ibis,white-faced_ibis,ibis,pelecaniformes,
white-winged_scoter,white-winged_scoter,duck,anseriformes,
willet,willet,shorebird,charadriiformes,
